fraud_uri,fraud_label,fraud_label_matched,gao_uri,gao_label,similarity_score,fraud_parents
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NaturalResourceandEnvironment,natural resource and environment,natural resource and environment,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130147,natural resources and environment: COVID-19,0.877,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NaturalResourceandEnvironment,natural resource and environment,natural resource and environment,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145855,natural resource and environmental policy,0.877,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NaturalResourceandEnvironment,natural resource and environment,Natural resource and environment,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130147,natural resources and environment: COVID-19,0.877,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Naturalization,naturalization process,naturalization process,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130159,naturalization laws,0.78,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalAdministrativeProcess
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Naturalization,naturalization process,naturalization process,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130157,naturalization,0.778,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalAdministrativeProcess
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Naturalization,naturalization process,naturalization process,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130158,naturalization law,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalAdministrativeProcess
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NaturalizationFraud,naturalization fraud,naturalization fraud,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130158,naturalization law,0.842,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/IdentityDocumentFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NaturalizationFraud,naturalization fraud,naturalization fraud,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130157,naturalization,0.824,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/IdentityDocumentFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NaturalizationFraud,naturalization fraud,naturalization fraud,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130159,naturalization laws,0.821,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/IdentityDocumentFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NaturalizedUSCitizen,naturalized US citizen,naturalized US citizen,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130160,naturalized citizen,0.927,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/USCitizen
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NaturalizedUSCitizen,naturalized US citizen,naturalized US citizen,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135013,naturalized citizens,0.905,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/USCitizen
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Nepotism,nepotism,nepotism,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130203,nepotism,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Corruption
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NetInterest,net interest,net interest,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128366,interest,0.8,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NetInterest,net interest,Net interest,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128366,interest,0.8,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NominalPurchaser,nominal purchaser,nominal purchaser,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132572,small purchases,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OpaqueOwnership
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonCompetitiveBidding,non-competitive bidding,non-competitive bidding,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123609,competitive bidding,0.927,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonGovernmentalOrganization,Non-governmental organizations,Non-governmental organizations,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130293,nongovernmental organizations,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonGovernmentalOrganization,Non-governmental organizations,non-governmental organization,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130293,nongovernmental organizations,0.982,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonGovernmentalOrganization,Non-governmental organizations,Non-governmental organizations,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130268,non-government organizations (NGOs),0.885,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonGovernmentalOrganization,Non-governmental organizations,non-governmental organization,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127295,government reorganization,0.868,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonGovernmentalOrganization,Non-governmental organizations,non-governmental organization,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130268,non-government organizations (NGOs),0.867,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonInvestigation,noninvestigation,noninvestigation,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121327,9/11 investigations,0.765,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalFraudIncidentResponse
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonInvestigation,noninvestigation,noninvestigation,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130984,personnel investigations,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FederalFraudIncidentResponse
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonPaymentScam,non-payment scam,non-payment scam,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135481,payment scams,0.857,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Misrepresentation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonProfitOrganization,Nonprofit organizations,Nonprofit organizations,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130300,nonprofit organizations,1.0,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonProfitOrganization,Nonprofit organizations,nonprofit organization,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130300,nonprofit organizations,0.978,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonProfitOrganization,Nonprofit organizations,Nonprofit organizations,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130336,not-for-profit organizations (NFPOs),0.8,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonProfitOrganization,Nonprofit organizations,Nonprofit organizations,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130298,nonprofit corporations,0.8,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonProfitOrganization,Nonprofit organizations,nonprofit organization,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135626,provider organization,0.791,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonUSCitizen,non U.S. citizen,non U.S. citizen,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130288,noncitizens,0.8,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Citizenship
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NotAdjudication,nonadjudication,nonadjudication,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121449,addiction,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Investigation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NotAdjudication,nonadjudication,nonadjudication,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134158,visa adjudication,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Investigation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Nurse,nurse,nurse,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130419,nurses,0.909,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthProfessionals
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OdometerFraud,odometer fraud,odometer fraud,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123648,computer fraud,0.786,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ConsumerFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OpaqueOwnership,opaque ownership,opaque ownership,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127743,home ownership,0.8,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccreditationFraudMechanism; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/GrantFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OpaqueOwnership,opaque ownership,opaque ownership,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131369,private ownership,0.788,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccreditationFraudMechanism; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/GrantFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OpaqueOwnership,opaque ownership,opaque ownership,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127761,homeownership,0.759,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccreditationFraudMechanism; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/GrantFraudMechanism
