uri,label,all_labels
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132859,state courts,state courts
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122463,bankruptcy courts,bankruptcy courts
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122073,appellate courts,appellate courts
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133621,tribal courts,tribal courts
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125994,family court,family court
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129604,military courts,military courts
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133495,traffic courts,traffic courts
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125024,drug courts,drug courts
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124073,courts of competent jurisdiction,courts of competent jurisdiction
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128719,juvenile courts,juvenile courts
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133537,transportation agencies,transportation agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128468,international satellite organizations,international satellite organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134028,veterans agencies,veterans agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121915,American Indian and Alaska Native affairs agencies,American Indian and Alaska Native affairs agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129913,multilateral organizations,multilateral organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121677,agriculture and food agencies,agriculture and food agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122325,authorizing committees,authorizing committees
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124269,cybersecurity and information security agencies,cybersecurity and information security agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130747,oversight committees,oversight committees
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126124,federal departments and major institutions,federal departments and major institutions
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132846,state and local government agencies,state and local government agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/145561,"culture, media, and sports agencies","culture, media, and sports agencies"
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130277,non-U.S. governments,non-U.S. governments
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127509,heads of state (non-U.S.),heads of state (non-U.S.)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130279,non-U.S. military forces,non-U.S. military forces
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126699,foreign officials,foreign officials
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134836,E.U. institutions,E.U. institutions
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131288,presidents (U.S.),presidents (U.S.)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131278,presidential appointments,presidential appointments
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135411,presidential drawdowns,presidential drawdowns
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131281,presidential libraries,presidential libraries
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131280,presidential elections,presidential elections
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125893,executive powers,executive powers
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125899,executive veto,executive veto
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125891,executive orders,executive orders
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131285,presidential travel,presidential travel
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131284,presidential transition,presidential transition
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131272,President's budget,President's budget
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131283,presidential proposals,presidential proposals
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131282,presidential messages,presidential messages
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129648,military inspectors general,military inspectors general
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128557,investment review boards,investment review boards
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/133148,tax agencies,tax agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125869,executive agencies,executive agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127209,government archives,government archives
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125549,energy agencies,energy agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/127522,health care agencies,health care agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124452,defense agencies,defense agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124447,defense acquisition organizations,defense acquisition organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131888,relief agencies,relief agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134838,international agencies and organizations,international agencies and organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126351,financial agencies,financial agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128243,infrastructure agencies,infrastructure agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132024,retirement security agencies,retirement security agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/129016,legislative agencies,legislative agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123732,congressional agencies,congressional agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123740,congressional delegations,congressional delegations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123739,congressional committees,congressional committees
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128689,judicial agencies,judicial agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/128404,international affairs agencies,international affairs agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135178,field offices,field offices
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123836,consumer protection agencies,consumer protection agencies
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123300,Civil Society (Third Sector),Civil Society (Third Sector)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123139,charitable donations,charitable donations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/134009,vehicle donations,vehicle donations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126858,fundraising,fundraising
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125544,endowments,endowments
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126765,foundations (organizations),foundations (organizations)
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123572,community organizations,community organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122242,"associations, nonprofits, and third-sector organizations","associations, nonprofits, and third-sector organizations"
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131420,professional associations,professional associations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130297,nonprofit and third-sector organizations,nonprofit and third-sector organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/125299,election monitoring,election monitoring
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123141,charities,charities
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/122040,anti-poverty initiatives,anti-poverty initiatives
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130266,non-government grants,non-government grants
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/148481,non-government food assistance,non-government food assistance
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126557,food banks,food banks
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/130269,non-government social assistance,non-government social assistance
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131895,religious organizations,religious organizations
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123263,churches,churches
